"","AppId","Rank","ReleaseDate","Category","Price","Seller","Developer","Screenshot","Size","StarsAllVersions","RatingsAllVersions","StarsCurrentVersion","RatingsCurrentVersion","Version","UpdatedDate","TopInAppPurchases","dummy_Book","dummy_Business","dummy_Education","dummy_Finance","dummy_Games","dummy_Medical","dummy_Music","dummy_Productivity","equalSD","Bigcom","AppAge","Version_2","UpCyle"
"1349",574335696,153,2012-12-06,"Games",0.99,"Uppercut Games Pty Limited","Uppercut Games Pty Ltd",5,39.57,4.5,12,4.5,12,"1"," Dec 06, 2012",3,0,0,0,0,1,0,0,0,1,0,26,1,26
"1350",396837225,154,2010-10-16,"Games",0.99,"BLUE GNC Co.,Ltd","BLUE GNC",5,40.51,4.5,12327,4.5,59,"111","2012-10-15",6,0,0,0,0,1,0,0,0,1,0,808,1,808
"1351",380017992,155,2010-07-29,"Games",0.99,"Electronic Arts Inc.","Electronic Arts",5,81.43,3,2851,3,1223,"1.0.1","2011-01-07",0,0,0,0,0,1,0,0,0,1,1,887,1,887
"1352",522704697,156,2012-07-20,"Games",6.99,"Gameloft S.A.","Gameloft",5,819.72,4,3641,4,217,"1.0.3","2012-11-02",9,0,0,0,0,1,0,0,0,1,0,165,1,165
"1353",426072035,157,2011-05-26,"Games",4.99,"Illusion Labs AB","Illusion Labs",5,125.22,4,1842,4,94,"1.5.1","2012-09-18",0,0,0,0,0,1,0,0,0,1,0,586,1,586
"1354",434566053,158,2011-05-26,"Games",0.99,"Com2us USA, Inc.","Com2uS Inc.",5,24.49,5,21796,4.5,121,"1.4.1","2012-11-21",5,0,0,0,0,1,0,0,0,1,1,586,1,586
"1355",511136749,159,2012-04-05,"Games",1.99,"Activision Publishing, Inc.","Activision Publishing, Inc.",5,132.62,4.5,14957,4.5,129,"1.6.0","2012-12-05",4,0,0,0,0,1,0,0,0,1,0,271,1,271
"1356",525350529,160,2012-06-10,"Games",0.99,"Turbo Chilli Pty Ltd trading as Traction Games","Traction Games",5,24.42,4.5,1541,4.5,1540,"1.0.1","2012-07-11",5,0,0,0,0,1,0,0,0,0,0,205,1,205
"1357",501499260,161,2012-03-08,"Games",1.99,"PopCap","PopCap",5,114.21,4.5,345,4.5,345,"1.1"," Mar 08, 2012",0,0,0,0,0,1,0,0,0,1,0,299,1,299
"1358",549027629,162,2012-08-31,"Games",2.99,"Terry Cavanagh","Terry Cavanagh",4,22.19,4.5,3646,5,842,"1.2","2012-10-05",0,0,0,0,0,1,0,0,0,1,0,123,1,123
"1359",429208823,163,2011-06-23,"Games",1.99,"Sega America","SEGA",5,310.39,4,21549,4.5,1837,"1.8","2012-07-26",3,0,0,0,0,1,0,0,0,0,0,558,1,558
"1360",303579255,164,2009-12-16,"Games",4.99,"Ludia","Ludia",5,47.96,3.5,7236,3.5,646,"1.1.5","2011-11-02",2,0,0,0,0,1,0,0,0,1,0,1112,1,1112
"1361",442522082,165,2011-10-27,"Games",4.99,"Gameloft S.A.","Gameloft",NA,1115.21,4.5,22103,4,1395,"1.4.0","2012-10-22",10,0,0,0,0,1,0,0,0,1,0,432,1,432
"1362",483349192,166,2011-12-18,"Games",0.99,"iGold Technologies Private Limited","iGold Technologies",5,18.37,4.5,2979,4.5,1389,"1.0.5","2012-06-28",0,0,0,0,0,1,0,0,0,1,0,380,1,380
"1363",532138534,167,2012-08-30,"Games",0.99,"NTT Resonant Inc.","NTT Resonant Inc.",5,46.51,5,3246,5,1928,"1.0.3","2012-09-26",6,0,0,0,0,1,0,0,0,1,0,124,1,124
"1364",537773100,168,2012-08-30,"Games",4.99,"Warner Bros. Entertainment","Warner Bros.",5,541.66,4.5,5189,4.5,1397,"1.1","2012-11-14",0,0,0,0,0,1,0,0,0,1,0,124,1,124
"1365",571344875,169,2012-10-30,"Games",0.99,"Clearly Trained LLC","Clearly Trained",5,23.67,2.5,40,2,29,"1.0.1","2012-11-08",0,0,0,0,0,1,0,0,0,1,0,63,1,63
"1366",578097213,170,2012-11-21,"Games",2.99,"Kerosene LLC","Kerosene",5,280.36,4,237,4,237,"1.0.0"," Nov 21, 2012",10,0,0,0,0,1,0,0,0,1,0,41,1,41
"1367",578982065,171,2012-12-06,"Games",0.99,"Sesame Workshop Apps","Sesame Street",5,43.65,4,5,4,5,"1"," Dec 06, 2012",6,0,0,0,0,1,0,0,0,1,0,26,1,26
"1368",310735743,172,2009-04-23,"Games",0.99,"Electronic Arts Inc.","Electronic Arts",5,26.86,3.5,4099,3,2183,"1.1.42","2010-03-01",5,0,0,0,0,1,0,0,0,1,1,1349,1,1349
"1369",443432280,173,2011-10-26,"Games",1.99,"MTV Networks","Nickelodeon",5,37.33,3.5,112,3.5,86,"1.1","2012-02-10",0,0,0,0,0,1,0,0,0,0,1,433,1,433
"1370",487652633,174,2012-11-20,"Games",0.99,"AceViral.com LTD","AceViral.com",5,13.33,4,3,4,3,"1.1","2012-12-03",4,0,0,0,0,1,0,0,0,1,0,42,1,42
"1371",323438913,175,2009-07-26,"Games",0.99,"Occamy Games","Occamy Games",5,20.04,4,22744,4,264,"1.8.7","2012-05-17",2,0,0,0,0,1,0,0,0,1,0,1255,1,1255
"1372",510337121,176,2012-06-10,"Games",2.99,"Trivie, Inc.","Trivie, Inc",5,18.04,4.5,2293,4.5,255,"1.4.1","2012-11-16",5,0,0,0,0,1,0,0,0,1,0,205,1,205
"1373",554223561,177,2012-10-25,"Games",0.99,"Jeremy Orlando","Rocketcat Games",5,13.62,5,7613,5,357,"1.2.7","2012-11-30",9,0,0,0,0,1,0,0,0,0,0,68,1,68
"1374",451287325,178,2011-07-26,"Games",0.99,"THUP Games LLC","THUP Games",5,19.55,4.5,893,4,531,"1.2","2012-02-07",0,0,0,0,0,1,0,0,0,1,0,525,1,525
"1375",322423174,179,2009-07-12,"Games",0.99,"Donut Games","Donut Games",3,10.66,3.5,209048,4.5,7289,"1.43","2012-06-18",0,0,0,0,0,1,0,0,0,1,0,1269,1,1269
"1376",306220440,180,2009-03-06,"Games",0.99,"Firemint Pty Ltd","Firemint Pty Ltd",5,17.94,4,65626,4.5,10186,"1.9.3","2011-12-01",1,0,0,0,0,1,0,0,0,1,0,1397,1,1397
"1377",320300350,181,2009-06-25,"Games",1.99,"LDW Software, LLC","Last Day of Work",5,26.46,3.5,18963,4.5,2501,"1.1.2","2011-08-31",0,0,0,0,0,1,0,0,0,0,0,1286,1,1286
"1378",483353496,182,2012-02-23,"Games",0.99,"Playmous, Inc.","Playmous",5,34.11,5,4399,4.5,41,"1.1.2","2012-11-30",0,0,0,0,0,1,0,0,0,1,0,313,1,313
"1379",389204861,183,2010-09-16,"Games",4.99,"Electronic Arts Inc.","Electronic Arts",5,162.93,3.5,12535,3.5,91,"1.1.10","2012-11-15",0,0,0,0,0,1,0,0,0,1,1,838,1,838
"1380",555641530,184,2012-10-18,"Games",1.99,"Turner Broadcasting System, Inc.","Cartoon Network",5,62,4.5,867,4.5,486,"1.01","2012-10-26",0,0,0,0,0,1,0,0,0,0,0,75,1,75
"1381",414014326,185,2011-01-15,"Games",0.99,"Robert Szeleney","Robert Szeleney",4,7.57,4,27348,4.5,1370,"2.3","2012-10-16",1,0,0,0,0,1,0,0,0,1,0,717,4,179.25
"1382",387428400,186,2010-12-09,"Games",5.99,"Chair Entertainment Group","Chair Entertainment Group, LLC",5,595.2,4.5,220424,5,66628,"1.4.1","2012-02-03",4,0,0,0,0,1,0,0,0,1,0,754,1,754
"1383",466710109,187,2011-11-17,"Games",0.99,"Com2us USA, Inc.","Com2uS Inc.",5,35.59,5,39806,4.5,105,"1.1.1","2012-12-04",7,0,0,0,0,1,0,0,0,1,1,411,1,411
"1384",572970016,188,2012-11-15,"Games",0.99,"Zynga Inc.","Zynga",5,45.95,3.5,416,3.5,416,"1.0.2"," Nov 15, 2012",10,0,0,0,0,1,0,0,0,1,1,47,1,47
"1385",387728623,189,2010-08-23,"Games",0.99,"Robert Szeleney","Robert Szeleney",5,15.61,4.5,19879,4.5,1223,"6.1","2012-10-15",8,0,0,0,0,1,0,0,0,1,0,862,36,23.9444444444444
